Transaction Date,Value Date,Description,Type,Amount,Category,Merchant,Reference,Account Number,Currency,Payment Method
2026-03-13,2026-03-13,Utility: Water Bill,EXPENSE,450,Utilities,City Water,WT-0313,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-03-12,2026-03-12,Education: Online Workshop,EXPENSE,3500,Education,SkillHub,EDU-0312,XXXX-XXXX-XXXX-1234,INR,CARD
2026-03-11,2026-03-11,Gift Sent - Friend,EXPENSE,1500,Gift,Friend Transfer,GFT-0311-2,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-10,2026-03-10,Salary Credit - ACME Corp,INCOME,90000,Salary,ACME Corp,SAL-0310-001,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-03-09,2026-03-09,Groceries - Neighborhood Store,EXPENSE,760,Groceries,NeighbourMart,NM-0309,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-08,2026-03-08,Pharmacy - HealthPlus,EXPENSE,600,Health,HealthPlus,PH-0308,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-07,2026-03-07,Concert Tickets,EXPENSE,4200,Entertainment,LiveNation,LN-0307,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-06,2026-03-06,Taxi - Local,EXPENSE,190,Transport,TaxiCo,TX-0306,XXXX-XXXX-XXXX-1234,INR,MOBILE_PAYMENT
2026-03-05,2026-03-05,Online Course Refund,INCOME,1200,Refund,Udemy,RFD-0305,XXXX-XXXX-XXXX-1234,INR,CARD
2026-03-04,2026-03-04,Shop Payment - Local Boutique,EXPENSE,2300,Shopping,Boutique,BO-0304,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-03,2026-03-03,Electricity Bill - Jan,EXPENSE,2700,Utilities,State Power Co.,ELC-0303,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-03-02,2026-03-02,Freelance Payment - Logo Design,INCOME,8000,Freelance,DesignCo,FRL-0302-88,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-03-01,2026-03-01,House Rent March,EXPENSE,25000,Housing,Landlord,RENT-0301-01,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-02-28,2026-02-28,Coffee - Morning Brew,EXPENSE,240,Food,CoffeeHouse,CF-0228,XXXX-XXXX-XXXX-1234,INR,CASH
2026-02-27,2026-02-27,Mobile Accessories - Case,EXPENSE,599,Shopping,MobileStore,MS-0227,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-02-26,2026-02-26,Salary Credit - ACME Corp,INCOME,90000,Salary,ACME Corp,SAL-0226-001,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-02-25,2026-02-25,Movie Night - Theatre,EXPENSE,900,Entertainment,Moviehouse,MH-0225,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-02-24,2026-02-24,Groceries - Weekend Market,EXPENSE,2100,Groceries,Weekend Mart,WM-0224,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-02-23,2026-02-23,Electricity Bill - Dec,EXPENSE,3000,Utilities,State Power Co.,ELC-0223,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-02-22,2026-02-22,Refund - Order Cancellation,INCOME,2300,Refund,ShopEasy,RFD-0222,XXXX-XXXX-XXXX-1234,INR,CARD
2026-02-21,2026-02-21,Taxi - Intercity,EXPENSE,1200,Transport,InterCityTaxi,ICT-0221,XXXX-XXXX-XXXX-1234,INR,MOBILE_PAYMENT
2026-02-20,2026-02-20,Streaming - HBO,EXPENSE,499,Subscription,HBO,HB-0220,XXXX-XXXX-XXXX-1234,INR,CASH
2026-02-19,2026-02-19,Healthcare - Dental Clinic,EXPENSE,3200,Health,DentalCare,DC-0219,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-02-18,2026-02-18,Salary Credit - Bonus,INCOME,4000,Salary,ACME Corp,SAL-0218-BON,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-02-17,2026-02-17,Groceries - Organic Mart,EXPENSE,1800,Groceries,OrganicMart,OM-0217,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-02-16,2026-02-16,Electronics - USB Drive,EXPENSE,700,Electronics,TechStore,TS-0216,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-02-15,2026-02-15,Flight Booking - Domestic,EXPENSE,5600,Travel,AirIndia,FL-0215,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-02-14,2026-02-14,Valentine's Gift,EXPENSE,2600,Gift,GiftShop,GS-0214,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-02-13,2026-02-13,Salary Credit - ACME Corp,INCOME,90000,Salary,ACME Corp,SAL-0213-001,XXXX-XXXX-XXXX-1234,INR,BANK_TRANSFER
2026-02-12,2026-02-12,Subscription - Cloud Storage,EXPENSE,299,Subscription,CloudBox,CB-0212,XXXX-XXXX-XXXX-1234,INR,AUTO_DEBIT
2026-02-11,2026-02-11,Groceries - Mini Mart,EXPENSE,890,Groceries,MiniMart,MM-0211,XXXX-XXXX-XXXX-1234,INR,OTHER
2026-02-10,2026-02-10,Refund - Travel Voucher,INCOME,1500,Refund,TravelCo,RFD-0210,XXXX-XXXX-XXXX-1234,INR,OTHER
